Name,Position,Market_Value,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,PrgC,PrgP,PrgR,Gls (90),Ast (90),G+A (90),G-PK (90),G+A-PK (90)
Simone Scuffet,Goalkeeper,7000000.0,4.0,-1.0,-2.0,-327.0,-3.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,10.0,15.0,0.42,0.0,0.42,0.42,0.42
Simone Verdi,Attack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Simone Zaza,Attack,5000000.0,-1.0,-5.0,0.0,27.0,0.29999999999999716,-2.0,2.0,0.0,-2.0,0.0,0.0,-7.0,-1.0,80.0,65.0,47.0,-0.09000000000000008,0.09,-0.010000000000000009,-0.09000000000000008,-0.010000000000000009
Sofiane Boufal,Attack,-13200000.0,-1.0,-23.0,-11.0,-1162.0,-12.9,-2.0,-2.0,-4.0,-2.0,0.0,0.0,0.0,0.0,-77.0,-74.0,-113.0,-0.15,-0.15,-0.3,-0.15,-0.3
Sokratis Papastathopoulos,Defender,-18000000.0,3.0,-27.0,-25.0,-2145.0,-23.9,-2.0,0.0,-2.0,-2.0,0.0,0.0,-4.0,-1.0,-19.0,-105.0,-5.0,-0.08,0.0,-0.08,-0.08,-0.08
Solly March,Midfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soualiho Meïté,Midfield,-10500000.0,10.0,29.0,30.0,2639.0,29.299999999999997,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Souleymane Camara,Attack,9500000.0,-11.0,7.0,11.0,844.0,9.4,0.0,1.0,1.0,0.0,0.0,-1.0,0.0,1.0,10.0,13.0,7.0,-0.09,-0.04000000000000001,-0.14,-0.09,-0.14
Stanislav Lobotka,Midfield,-23000000.0,11.0,-35.0,-33.0,-2963.0,-32.9,0.0,1.0,1.0,0.0,0.0,0.0,-2.0,0.0,-31.0,-198.0,-27.0,0.0,0.92,0.92,0.0,0.92
Stef Peeters,Midfield,-1500000.0,1.0,-17.0,-10.0,-973.0,-10.8,0.0,-2.0,-2.0,0.0,0.0,-1.0,-4.0,0.0,-19.0,-68.0,-43.0,0.0,-0.16,-0.16,0.0,-0.16
Stefan Bell,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stefan Ilsanker,Midfield,18500000.0,1.0,9.0,15.0,1328.0,14.8,1.0,1.0,2.0,1.0,0.0,0.0,4.0,-1.0,11.0,83.0,0.0,0.03,0.0,0.03,0.03,0.03
Stefan Posch,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stefan de Vrij,Defender,-38000000.0,1.0,-23.0,-23.0,-1983.0,-22.000000000000004,-1.0,1.0,0.0,-2.0,1.0,1.0,0.0,0.0,11.0,-42.0,71.0,0.25,0.09,0.33,0.16000000000000003,0.25
Stefano Okaka,Attack,-3300000.0,-4.0,-8.0,3.0,27.0,0.2999999999999998,-1.0,-1.0,-2.0,-1.0,0.0,0.0,1.0,0.0,-5.0,1.0,-20.0,-0.2,-0.2,-0.4,-0.2,-0.4
Stefano Sensi,Midfield,-3500000.0,5.0,8.0,12.0,836.0,9.299999999999999,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,40.0,7.0,104.0,-0.07,0.1,0.01999999999999999,-0.07,0.01999999999999999
Stefano Sorrentino,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stefano Sturaro,Midfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stephan El Shaarawy,Attack,-14000000.0,2.0,-1.0,6.0,314.0,3.5,4.0,-4.0,0.0,2.0,2.0,3.0,2.0,0.0,-47.0,-68.0,-76.0,0.11000000000000004,-0.16999999999999998,-0.06,0.040000000000000036,-0.14
Stephan Lichtsteiner,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stephane Omeonga,Midfield,1500000.0,10.0,18.0,31.0,2533.0,28.1,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-23.0,-35.0,-37.0,0.0,0.0,0.0,0.0,0.0
Stephen Ward,Defender,42000000.0,-7.0,7.0,7.0,558.0,6.199999999999999,6.0,9.0,15.0,6.0,0.0,0.0,8.0,1.0,91.0,128.0,277.0,0.16999999999999998,0.26,0.44,0.16999999999999998,0.44
Steve Cook,Defender,-9100000.0,-6.0,-31.0,-30.0,-2670.0,-29.599999999999998,-2.0,-1.0,-3.0,-2.0,0.0,0.0,-5.0,0.0,-14.0,-82.0,-1.0,-0.07,-0.03,-0.1,-0.07,-0.1
Steve Mandanda,Goalkeeper,6500000.0,-3.0,-4.0,-6.0,-713.0,-7.899999999999999,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,12.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0
Steve Mounié,Attack,-5500000.0,7.0,-19.0,-13.0,-1097.0,-12.200000000000001,-7.0,-1.0,-8.0,-7.0,0.0,0.0,-2.0,0.0,-13.0,-27.0,-93.0,-0.34,-0.05,-0.39,-0.34,-0.39
Steven Davis,Midfield,39000000.0,-8.0,6.0,6.0,661.0,7.300000000000001,12.0,9.0,21.0,9.0,3.0,3.0,3.0,0.0,7.0,-72.0,113.0,0.44,0.37,0.81,0.31,0.69
Steven Defour,Midfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steven Fortes,Defender,3000000.0,5.0,10.0,9.0,673.0,7.499999999999999,2.0,0.0,2.0,2.0,0.0,0.0,-1.0,0.0,19.0,8.0,53.0,0.22,0.0,0.22,0.22,0.22
Steven Nzonzi,Midfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steven Zuber,Attack,-8300000.0,-2.0,-7.0,-8.0,-732.0,-8.100000000000001,-1.0,-2.0,-3.0,-1.0,0.0,0.0,-2.0,0.0,-17.0,-63.0,-16.0,-0.06,-0.13,-0.19,-0.06,-0.19
Stipe Perica,Attack,-1400000.0,4.0,-19.0,-8.0,-818.0,-9.1,-1.0,0.0,-1.0,-1.0,0.0,0.0,-6.0,0.0,-10.0,-20.0,-69.0,-0.1,0.0,-0.1,-0.1,-0.1
Stiven Mendoza,Attack,12500000.0,-1.0,19.0,20.0,1684.0,18.7,-1.0,1.0,0.0,-1.0,0.0,0.0,4.0,0.0,3.0,67.0,-39.0,-0.14,0.03,-0.1,-0.14,-0.1
Stéphane Bahoken,Attack,20000000.0,-5.0,-2.0,3.0,314.0,3.5,-6.0,1.0,-5.0,-6.0,0.0,0.0,0.0,1.0,56.0,50.0,-7.0,-0.33,0.039999999999999994,-0.29,-0.33,-0.29
Stéphane Ruffier,Goalkeeper,-2500000.0,1.0,-3.0,-3.0,-298.0,-3.3000000000000007,3.0,2.0,5.0,3.0,0.0,0.0,1.0,-1.0,42.0,131.0,151.0,0.1,0.06,0.16,0.1,0.16
Suat Serdar,Midfield,-7000000.0,1.0,-1.0,-6.0,-682.0,-7.599999999999998,-2.0,1.0,-1.0,-2.0,0.0,0.0,1.0,0.0,-21.0,2.0,-26.0,-0.11,0.09,-0.020000000000000004,-0.11,-0.020000000000000004
Suso,Attack,5000000.0,3.0,-8.0,-6.0,-400.0,-4.399999999999999,-6.0,-6.0,-12.0,-6.0,0.0,0.0,0.0,-1.0,-129.0,-225.0,-369.0,-0.19,-0.19,-0.38,-0.19,-0.38
Svante Ingelsson,Attack,34100000.0,2.0,20.0,16.0,1577.0,17.5,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,23.0,80.0,31.0,-0.23000000000000004,-0.19000000000000003,-0.41000000000000003,-0.23000000000000004,-0.41000000000000003
Sven Bender,Midfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sven Ulreich,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sébastien Haller,Attack,-34250000.0,7.0,-27.0,-23.0,-2032.0,-22.6,-9.0,-4.0,-13.0,-7.0,-2.0,-2.0,-2.0,0.0,-28.0,-52.0,-203.0,-0.35,-0.15,-0.5,-0.27,-0.42
Takashi Inui,Attack,42500000.0,-7.0,-3.0,-9.0,-814.0,-9.0,-2.0,1.0,-1.0,-2.0,0.0,0.0,0.0,0.0,-35.0,16.0,-92.0,-0.020000000000000018,0.07999999999999999,0.06,-0.020000000000000018,0.06
Takuma Asano,Attack,500000.0,9.0,14.0,11.0,877.0,9.8,2.0,0.0,2.0,-1.0,3.0,4.0,1.0,1.0,-8.0,108.0,-14.0,0.05000000000000002,0.0,0.05000000000000002,-0.12,-0.12
Taleb Tawatha,Defender,28500000.0,1.0,9.0,15.0,1169.0,12.999999999999998,3.0,2.0,5.0,3.0,0.0,0.0,1.0,0.0,55.0,66.0,133.0,0.17,-0.03,0.14,0.17,0.14
Terence Kongolo,Defender,10000000.0,0.0,22.0,24.0,2101.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,-7.0,-35.0,-21.0,0.0,0.0,0.0,0.0,0.0
Theo Hernández,Defender,-17500000.0,13.0,-4.0,-3.0,-376.0,-4.199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-43.0,-23.0,-105.0,0.0,0.0,0.0,0.0,0.0
Theo Walcott,Attack,25000000.0,-3.0,27.0,33.0,2804.0,31.099999999999998,10.0,11.0,21.0,7.0,3.0,5.0,1.0,0.0,164.0,128.0,312.0,0.31,0.34,0.66,0.22,0.56
Theodor Gebre Selassie,Defender,-500000.0,-6.0,-26.0,-25.0,-2333.0,-25.9,-3.0,0.0,-3.0,-3.0,0.0,0.0,-4.0,0.0,-25.0,-86.0,-67.0,-0.1,0.0,-0.1,-0.1,-0.1
Thiago Cionek,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thiago Maia,Midfield,26000000.0,3.0,-3.0,-2.0,-162.0,-1.7999999999999972,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,4.0,-34.0,4.0,0.04,0.04,0.08,0.04,0.08
Thiago Mendes,Midfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thiago Silva,Defender,-8500000.0,-10.0,-21.0,-22.0,-1915.0,-21.3,-1.0,0.0,-1.0,-1.0,0.0,0.0,-5.0,0.0,-14.0,-107.0,10.0,-0.04,0.0,-0.04,-0.04,-0.04
Thibaut Courtois,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thilo Kehrer,Defender,-26000000.0,2.0,-10.0,-9.0,-745.0,-8.3,-2.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,0.0,-22.0,-53.0,-1.0,-0.05,0.0,-0.05,-0.05,-0.05
Thomas Delaney,Midfield,-26650000.0,-6.0,-31.0,-31.0,-2782.0,-30.900000000000002,-3.0,-4.0,-7.0,-3.0,0.0,0.0,-5.0,0.0,-27.0,-145.0,-95.0,-0.1,-0.13,-0.23,-0.1,-0.23
Thomas Kraft,Goalkeeper,3000000.0,-1.0,-2.0,-3.0,-253.0,-2.8,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Thomas Lemar,Attack,-63000000.0,-1.0,-18.0,-17.0,-1585.0,-17.599999999999998,-2.0,-8.0,-10.0,-2.0,0.0,0.0,2.0,0.0,-71.0,-143.0,-120.0,-0.08,-0.3,-0.38,-0.08,-0.38
Thomas Mangani,Midfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thomas Meunier,Defender,-27000000.0,-7.0,-22.0,-15.0,-1524.0,-16.9,-3.0,-4.0,-7.0,-3.0,0.0,0.0,-2.0,0.0,-70.0,-79.0,-142.0,1.44,-0.23,1.21,1.44,1.21
Thomas Monconduit,Midfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thomas Müller,Attack,-51000000.0,-5.0,-13.0,-9.0,-884.0,-9.8,-8.0,-14.0,-22.0,-8.0,0.0,0.0,-1.0,0.0,-14.0,-33.0,-265.0,-0.36,-0.63,-0.99,-0.36,-0.99
Thomas Partey,Midfield,-39500000.0,9.0,-18.0,-16.0,-1279.0,-14.2,-3.0,0.0,-3.0,-3.0,0.0,0.0,-4.0,0.0,-12.0,-80.0,-3.0,-0.11,0.0,-0.11,-0.11,-0.11
Thomas Strakosha,Goalkeeper,-12000000.0,6.0,-9.0,-12.0,-1127.0,-12.5,0.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,17.0,121.0,10.0,0.0,0.16,0.16,0.0,0.16
Thomas Vermaelen,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thorgan Hazard,Attack,-31000000.0,4.0,-21.0,-29.0,-2461.0,-27.400000000000002,-9.0,-5.0,-14.0,-4.0,-5.0,-6.0,1.0,0.0,-132.0,-107.0,-309.0,-0.12,-0.15,-0.27,0.04000000000000001,-0.12
Théo Pellenard,Defender,16000000.0,-3.0,-3.0,-6.0,-448.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-15.0,-9.0,-28.0,0.0,0.0,0.0,0.0,0.0
Tiemoué Bakayoko,Midfield,-34000000.0,10.0,-10.0,-5.0,-416.0,-4.600000000000001,-2.0,-2.0,-4.0,-2.0,0.0,0.0,-1.0,-2.0,-39.0,-123.0,-57.0,-0.08,-0.08,-0.17,-0.08,-0.17
Tim Kleindienst,Attack,6000000.0,9.0,12.0,20.0,1661.0,18.5,1.0,-2.0,-1.0,1.0,0.0,0.0,13.0,0.0,31.0,113.0,-43.0,-0.06,-0.21,-0.27,-0.06,-0.27
Timo Baumgartl,Defender,45000000.0,7.0,-1.0,-3.0,-389.0,-4.300000000000001,0.0,4.0,4.0,0.0,0.0,0.0,-2.0,0.0,49.0,190.0,27.0,0.0,0.16,0.16,0.0,0.16
Timo Stavitski,Attack,2500000.0,10.0,5.0,7.0,532.0,5.9,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,0.0,-5.0,31.0,-29.0,0.0,0.1,0.1,0.0,0.1
Timo Werner,Attack,-64500000.0,7.0,-11.0,-7.0,-731.0,-8.099999999999998,-12.0,-5.0,-17.0,-10.0,-2.0,-2.0,3.0,0.0,-49.0,24.0,-202.0,-0.42,-0.15,-0.57,-0.35000000000000003,-0.5
Timothy Castagne,Defender,105000000.0,-2.0,9.0,10.0,962.0,10.7,1.0,11.0,12.0,1.0,0.0,0.0,-1.0,0.0,32.0,99.0,59.0,0.04,0.38,0.42,0.04,0.42
Timothy Chandler,Defender,-2500000.0,0.0,-4.0,-5.0,-548.0,-6.1,-1.0,-1.0,-2.0,-1.0,0.0,0.0,2.0,0.0,-40.0,15.0,-44.0,-0.03,0.010000000000000009,-0.019999999999999962,-0.03,-0.019999999999999962
Timothy Fosu-Mensah,Defender,3000000.0,11.0,11.0,11.0,949.0,10.600000000000001,9.0,5.0,14.0,8.0,1.0,1.0,2.0,1.0,-2.0,31.0,130.0,0.32,0.18,0.5,0.28,0.46
Timothy Weah,Attack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tin Jedvaj,Defender,20500000.0,4.0,-5.0,-4.0,-456.0,-5.1,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-10.0,-34.0,-7.0,0.0,0.0,0.0,0.0,0.0
Tito,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tobias Strobl,Midfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toby Alderweireld,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tom Cleverley,Midfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tom Davies,Midfield,0.0,2.0,-21.0,-9.0,-836.0,-9.3,-2.0,-1.0,-3.0,-2.0,0.0,0.0,-3.0,0.0,-36.0,-23.0,-68.0,-0.09,-0.05,-0.14,-0.09,-0.14
Tom Heaton,Goalkeeper,-1000000.0,-5.0,4.0,0.0,53.0,0.6000000000000001,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,19.0,35.0,0.0,0.25,0.25,0.0,0.25
Tommy Smith,Defender,1000000.0,-3.0,-12.0,-18.0,-1500.0,-16.7,1.0,0.0,1.0,1.0,0.0,0.0,-6.0,0.0,-32.0,-28.0,-78.0,0.22,0.16999999999999998,0.4,0.22,0.4
Tomás Rincón,Midfield,-7000000.0,4.0,-17.0,-18.0,-1634.0,-18.199999999999996,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,-25.0,-127.0,-40.0,0.04000000000000001,0.0,0.04000000000000001,0.04000000000000001,0.04000000000000001
Toni Kroos,Midfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toni Lato,Defender,-6000000.0,12.0,1.0,3.0,304.0,3.299999999999999,2.0,1.0,3.0,1.0,1.0,1.0,-3.0,0.0,31.0,50.0,46.0,0.16,0.05,0.22000000000000003,0.08,0.14
Toni Moya,Midfield,7700000.0,9.0,35.0,23.0,2167.0,24.1,8.0,2.0,10.0,8.0,0.0,0.0,1.0,0.0,9.0,29.0,111.0,0.33,0.08,0.41,0.33,0.41
Tony Jantschke,Defender,-2300000.0,-6.0,-11.0,-6.0,-563.0,-6.3,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,1.0,-14.0,-33.0,-18.0,0.0,-0.12,-0.12,0.0,-0.12
Toño,Goalkeeper,900000.0,0.0,-8.0,-11.0,-999.0,-11.1,0.0,-1.0,-1.0,0.0,0.0,0.0,-2.0,0.0,-39.0,-45.0,-53.0,0.0,-0.08,-0.08,0.0,-0.08
Trent Alexander-Arnold,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tristan Dingomé,Midfield,4000000.0,5.0,6.0,6.0,562.0,6.300000000000001,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-12.0,-68.0,-32.0,0.0,0.0,0.0,0.0,0.0
